"id","avg_followers"
"28376284","52.9375"
"28992266","114.6023"
"6","721"
"334","6239"
"391","48"
"675","1811"
"735","1811"
"799","1890"
"982","418"
"1022","271"
"1305","923"
"1620","456"
"1742","229"
"1743","79"
"1819","1036"
"1996","270"
"2204","280"
"2727","872"
"2746","149"
"2864","53"
"3052","75"
"3386","549"
"3430","461"
"3595","1150"
"3623","1134"
"3648","11"
"3751","51"
"3928","137"
"4003","392"
"4276","506"
"4281","62"
"4346","1828"
"4473","148"
"4846","7566"
"4929","1174"
"5161","246"
"5184","731"
"5455","459"
"5478","452"
"5497","516"
"5626","226"
"5629","161"
"6009","300"
"6931","57"
"6978","167"
"7059","256"
"7149","1406"
"7317","277"
"7836","483"
"7982","2970"
"8184","980"
"8390","441"
"8566","487"
"8833","152"
"9383","69"
"9682","3649"
"9713","2424"
"9716","99"
"10197","1477"
"10512","361"
"10594","28"
"10649","112"
"10686","41"
"11067","428"
"11435","247"
"11820","100"
"11902","6052"
"12257","93"
"12830","705"
"12831","655"
"12885","2046"
"13235","11704"
"13747","69"
"13929","7374"
"14061","500"
"14098","305"
"14622","1890"
"14763","17"
"14952","317"
"15728","112"
"15756","220"
"16113","120"
"16376","168"
"16462","21019"
"16820","1714"
"16836","47"
"17000","127"
"17165","2970"
"17730","124"
"17742","154"
"17798","952"
"18045","333"
"18250","59"
"18571","81"
"18601","164"
"19030","54"
"19375","80"
"19579","63"
"19640","289"
"19806","2011"
"19996","985"
"20138","1405"
"20678","46"
"21274","2970"
"22086","6909"
"22528","302"
"23085","2153"
"23122","2561"
"23238","2261"
"23429","124"
"23605","17709"
"23834","755"
"23888","2336"
"24213","135"
"24326","2834"
"24522","2443"
"24889","159"
"24960","60"
"25016","900"
"25359","688"
"25380","322"
"27194","125"
"28009","431"
"28054","69"
"28204","573"
"28556","155"
"28576","41"
"29172","1528"
"29762","71"
"29991","2363"
"30653","56"
"30761","10"
"31283","404"
"31366","1847"
"32107","293"
"32638","19"
"33227","1811"
"33656","70"
"34288","8514"
"35473","57"
"36313","89"
"36413","860"
"36591","150"
"37778","21"
"38658","159"
"39044","31"
"39075","76"
"40389","2114"
"41254","100"
"41498","601"
"41849","57"
"42214","59"
"42948","31"
"43969","86"
"45141","14"
"45669","483"
"47940","56"
"48829","104"
"48951","38"
"49570","200"
"50875","6130"
"53018","77"
"53286","36"
"54068","1100"
"54491","483"
"54745","2"
"54785","14"
"55259","592"
"56374","474"
"58903","123"
"59582","1"
"61117","98"
"62093","872"
"64390","1118"
"64654","68"
"65772","250"
"69069","38"
"70499","83"
"74160","85"
"79442","16"
"81444","10"
"82957","13"
"85800","23"
"87135","103"
"87869","497"
"88390","159"
"91363","27"
"94451","35"
"96689","128"
"96763","44"
"98743","46"
"100266","79"
"102179","257"
"104483","342"
"106815","120"
"106864","794"
"107530","451"
"110992","15"
"112249","428"
"112262","13"
"112292","70"
"116162","62"
"118048","35"
"119275","40"
"119977","59"
"120216","35"
"122760","15704"
"123356","6"
"124137","590"
"126528","22"
"126778","9"
"131286","16"
"134290","132"
"136457","5"
"137246","616"
"141145","431"
"141261","111"
"142406","6"
"146205","1084"
"150716","312"
"153822","24"
"154114","4312"
"156773","3225"
"166720","2"
"167194","4312"
"169454","15"
"176492","1967"
"176596","152"
"180685","345"
"182702","100"
"185861","724"
"189681","10"
"198069","17"
"201672","114"
"204692","642"
"205834","8"
"207212","74"
"209924","7374"
"214505","34"
"214552","8"
"216447","795"
"219601","495"
"220953","235"
"222916","118"
"223537","352"
"224435","25"
"231026","46"
"233193","4"
"238698","132"
"242564","50"
"243431","387"
"255320","156"
"260066","25"
"263107","21"
"276344","14"
"280617","149"
"284018","143"
"303616","44"
"306833","37"
"306908","32"
"307612","5"
"309661","128"
"311780","12"
"313268","89"
"323565","2153"
"326476","5"
"328815","264"
"335881","10"
"337343","77"
"338816","41"
"344063","126"
"348868","27"
"362053","77"
"362894","121"
"366402","1150"
"386790","13"
"410586","5"
"414089","530"
"419651","344"
"422791","61"
"427934","5"
"440795","143"
"445199","2561"
"450059","299"
"450328","177"
"454235","9"
"455467","41"
"460773","44"
"497181","1250"
"499056","16"
"543497","433"
"546329","40"
"579759","8"
"601064","248"
"603530","89"
"640609","32"
