"`id`","`nr_of_devs`"
"27375757","2"
"27422150","1"
"27434109","2"
"27469596","1"
"27499427","1"
"27501293","3"
"27530962","1"
"27533386","1"
"27536536","1"
"27681681","1"
"27740539","2"
"27852169","1"
"27980298","1"
"28085151","4"
"28117425","2"
"28119927","1"
"28139204","1"
"28153902","1"
"28169699","1"
"28357332","1"
"28405382","1"
"28459924","11"
"28475997","2"
"28486256","1"
"28510906","1"
"28552779","1"
"28581442","1"
"28592646","1"
"28690670","3"
"28754602","1"
"28758106","1"
"28947710","1"
"28952769","2"
"29023113","1"
"29116788","1"
