"`id`","`nr_of_devs`"
"36591","4"
"36713","200"
"37623","7"
"37778","5"
"38658","6"
"38744","40"
"39027","25"
"39044","11"
"39075","87"
"40389","69"
"41498","21"
"41849","1"
"42214","1"
"42948","3"
"45141","8"
"45669","6"
"48951","2"
"49570","5"
"50875","123"
"53018","13"
"53286","34"
"54068","1"
"54351","42"
"54491","67"
"54785","5"
"56374","74"
"58903","16"
"59607","11"
"59830","14"
"61117","1"
"62093","3"
"64212","51"
"64390","10"
"64654","20"
"65772","6"
"79442","1"
"82957","1"
"84341","22"
"85800","6"
"87135","18"
"87869","18"
"91363","1"
"96553","206"
"98743","16"
"100266","16"
"102179","76"
"104483","7"
"106815","2"
"106864","26"
"110992","5"
"112249","34"
"112292","2"
"113880","14"
"114167","133"
"114751","3"
"116162","3"
"118048","8"
"118551","8"
"119275","3"
"119977","20"
"120216","5"
"122760","1"
"123356","4"
"124137","1"
"126778","6"
"131286","24"
"141145","14"
"141261","13"
"142406","2"
"146205","2"
"149332","39"
"150716","2"
"153822","18"
"154114","2"
"156773","2"
"158753","30"
"159999","12"
"164085","8"
"167194","3"
"167303","11"
"167985","21"
"169454","7"
"176492","13"
"180685","7"
"181526","245"
"182702","96"
"185861","14"
"204692","83"
"206270","3"
"207212","1"
"214552","3"
"216447","32"
"219601","20"
"222916","4"
"224435","10"
"231026","21"
"242564","7"
"243431","25"
"246730","13"
"255320","10"
"262948","1"
"263107","3"
"267105","34"
"267717","6"
"280617","16"
"284075","18"
"306833","2"
"311780","4"
"313268","14"
"319466","13"
"321869","59"
"323565","10"
"326476","5"
"328815","26"
"335881","1"
"338816","1"
"343698","15"
"348868","2"
"362053","5"
"362894","6"
"366402","1"
"386790","1"
"419651","16"
"422791","1"
"445199","13"
"450328","2"
"454235","1"
"460773","2"
"499056","5"
"543497","25"
"569534","6"
"572040","20"
"643697","13"
"651549","13"
"683351","294"
"696102","362"
"705818","4"
"718118","21"
"719340","1"
"723307","8"
"738430","63"
"742622","8"
"743378","8"
"748510","1"
"771049","2"
"784448","7"
"811401","5"
"812923","2"
"870927","1"
"1001578","44"
"1008365","16"
"1027466","1"
"1036996","10"
"1059797","6"
"1117036","2"
"1124381","1"
"1261926","1"
"1270737","27"
"1344179","59"
"1352199","128"
"1354419","45"
"1366256","8"
"1367068","9"
"1367228","17"
"1372746","10"
"1381021","120"
"1382032","1"
"1391701","8"
"1397125","1"
"1397723","12"
"1404659","7"
"1416473","7"
"1432150","31"
"1434458","25"
"1437288","80"
"1438441","231"
"1457727","53"
"1471234","3"
"1474764","12"
"1486549","21"
"1500447","4"
"1524373","1"
"1526024","4"
"1528221","333"
"1545229","8"
"1546988","2"
"1619676","5"
"1690743","32"
"1698522","15"
"1713442","32"
"1749436","34"
"1778841","18"
"1819251","1"
"1891776","5"
"1892389","2"
"1893164","3"
"1900934","27"
"1904790","1"
"1918558","3"
"1927874","11"
"1927881","1"
"1961397","55"
"1965404","6"
"1977847","6"
"1989790","113"
"1991636","31"
"2241376","3"
"2244312","4"
"2249262","3"
"2250690","3"
"2252680","1"
"2255699","2"
"2257096","16"
"2257240","37"
"2281819","19"
"2294498","124"
"2337743","3"
"2340614","8"
"2363619","14"
"2363758","67"
"2365356","2"
"2389915","33"
"2404370","12"
"2417208","1"
"2421460","2"
"2447212","7"
"2476937","2"
"2513836","1"
"2661903","3"
"2662867","4"
"2702530","2"
"2719572","8"
"2728868","63"
"2739871","1"
"2752178","34"
"2771181","1"
