"`project_id`","`max_followers`"
"9650960","6600"
"9658872","1259"
"9706049","80"
"9727940","1918"
"9755937","23"
"9862004","1738"
"9865676","198"
"9908329","66"
"9961002","1122"
"10066441","4382"
"10084609","44"
"10084678","1241"
"10172529","8"
"10196307","28"
"10358518","17"
"10377821","42"
"10388177","991"
"10396798","38"
"10432015","64"
"10435441","6600"
"10520061","24"
"10521722","312"
"10548198","588"
"10576004","2669"
"10589306","38"
"10631290","16582"
"10777706","97"
"10784470","15704"
"10812016","8"
"10815238","3184"
"10817458","35"
"10832091","1405"
"10832897","1405"
"10832960","1247"
"10953007","1918"
"10955983","63"
"10956038","63"
"10964976","15"
"11001304","1600"
"11061859","110"
"11107988","4226"
"11139593","66"
"11144636","691"
"11165808","316"
"11212499","3184"
"11227723","221"
"11338993","244"
"11362536","2011"
"11474560","1194"
"11494393","65"
"11622535","967"
"11706023","85"
"11707880","128"
"11735060","3"
"11737051","88"
"11744765","200"
"11753236","3005"
"11797084","3831"
"12092942","420"
"12170217","3184"
"12226983","394"
"12260707","27"
"12326365","8"
"12350238","17"
"12666384","655"
"12806676","18"
"12814859","94"
"12908987","19383"
"13071706","48"
"13095216","319"
"13334964","15"
"13393204","302"
"13454056","4"
"13489032","176"
"13595364","20"
"13613053","19383"
"13636329","41"
"13642463","44"
"13664602","2983"
"13680016","136"
"14000694","47"
"14179437","46"
"14286406","99"
"14429281","25"
"14457963","50"
"14545279","5182"
"14771481","63"
"14847736","1247"
"15022227","262"
"15384846","102"
"15573016","278"
"15623292","11"
"15627284","1400"
"15676204","2228"
"15710174","473"
"16030648","150"
"16174927","66"
"16230400","804"
"16310355","4312"
"16423884","21019"
"16534152","1001"
"16647116","139"
"16741757","26"
"16792291","55"
"17081302","102"
"17193964","399"
"17539972","21"
"18054793","49"
"18260477","10"
"18469788","111"
"18552022","530"
"18655199","846"
"18781956","2561"
"18810686","180"
"18904813","8556"
"19010386","282"
"19122404","148"
"19185130","89"
"19320997","8556"
"19569279","358"
"19685186","145"
"20532547","616"
"20647545","43"
"20682630","17709"
"20737229","40"
"21058198","139"
"21629316","129"
"22041659","17"
"22042237","62"
"22053762","564"
"22054830","86"
"22056425","62"
"22076087","90"
"22077026","89"
"22110826","450"
"22946554","70"
"23471356","462"
"24136448","1453"
"24272262","66"
"25977484","519"
"27299735","278"
"27406305","216"
"27530962","69"
"27676276","165"
"28338390","2395"
"28376284","142"
"28992266","2228"
"6","721"
"334","6239"
"391","48"
"675","1811"
"735","1811"
"799","1890"
"982","418"
"1022","271"
"1305","923"
"1620","456"
"1742","229"
"1743","79"
"1819","1036"
"1996","270"
"2204","280"
"2727","872"
"2746","149"
"2864","53"
"3052","75"
"3386","549"
"3430","461"
"3595","1150"
"3623","1134"
"3648","11"
"3751","51"
"3928","137"
"4003","392"
"4276","506"
"4281","62"
"4346","1828"
"4473","148"
"4846","7566"
"4929","1174"
"5161","246"
"5184","731"
"5455","459"
"5478","452"
"5497","516"
"5626","226"
"5629","161"
"6009","300"
"6931","57"
"6978","167"
"7059","256"
"7149","1406"
"7317","277"
"7836","483"
"7982","2970"
"8184","980"
"8390","441"
"8566","487"
"8833","152"
"9383","69"
"9682","3649"
"9713","2424"
"9716","99"
"10197","1477"
"10512","361"
"10594","28"
"10649","112"
"10686","41"
"11067","428"
"11435","247"
"11820","100"
"11902","6052"
"12257","93"
"12830","705"
"12831","655"
"12885","2046"
"13235","11704"
"13747","69"
"13929","7374"
"14061","500"
"14098","305"
"14622","1890"
"14763","17"
"14952","317"
"15728","112"
"15756","220"
"16113","120"
"16376","168"
"16462","21019"
"16820","1714"
"16836","47"
"17000","127"
"17165","2970"
"17730","124"
"17742","154"
"17798","952"
"18045","333"
"18250","59"
"18571","81"
"18601","164"
"19030","54"
"19375","80"
"19579","63"
"19640","289"
"19806","2011"
"19996","985"
"20138","1405"
"20678","46"
"21274","2970"
"22086","6909"
"22528","302"
"23085","2153"
"23122","2561"
"23238","2261"
"23429","124"
"23605","17709"
"23834","755"
"23888","2336"
"24213","135"
"24326","2834"
"24522","2443"
"24889","159"
"24960","60"
"25016","900"
"25359","688"
"25380","322"
"27194","125"
"28009","431"
"28054","69"
"28204","573"
"28556","155"
"28576","41"
"29172","1528"
"29762","71"
"29991","2363"
"30653","56"
"30761","10"
"31283","404"
"31366","1847"
"32107","293"
"32638","19"
"33227","1811"
"33656","70"
"34288","8514"
"35473","57"
"36313","89"
"36413","860"
"36591","150"
"37778","21"
"38658","159"
"39044","31"
"39075","76"
"40389","2114"
"41254","100"
"41498","601"
"41849","57"
"42214","59"
"42948","31"
"43969","86"
"45141","14"
"45669","483"
"47940","56"
"48829","104"
"48951","38"
"49570","200"
"50875","6130"
"53018","77"
"53286","36"
"54068","1100"
"54491","483"
"54745","2"
"54785","14"
"55259","592"
"56374","474"
"58903","123"
"59582","1"
"61117","98"
"62093","872"
"64390","1118"
"64654","68"
"65772","250"
"69069","38"
"70499","83"
"74160","85"
"79442","16"
"81444","10"
"82957","13"
"85800","23"
"87135","103"
"87869","497"
"88390","159"
"91363","27"
"94451","35"
"96689","128"
"96763","44"
"98743","46"
"100266","79"
"102179","257"
"104483","342"
"106815","120"
"106864","794"
"107530","451"
"110992","15"
"112249","428"
"112262","13"
"112292","70"
"116162","62"
"118048","35"
"119275","40"
"119977","59"
"120216","35"
"122760","15704"
"123356","6"
"124137","590"
"126528","22"
"126778","9"
"131286","16"
"134290","132"
"136457","5"
"137246","616"
"141145","431"
"141261","111"
"142406","6"
"146205","1084"
"150716","312"
"153822","24"
"154114","4312"
"156773","3225"
"166720","2"
"167194","4312"
"169454","15"
"176492","1967"
"176596","152"
"180685","345"
"182702","100"
"185861","724"
"189681","10"
"198069","17"
"201672","114"
"204692","642"
"205834","8"
"207212","74"
"209924","7374"
"214505","34"
"214552","8"
"216447","795"
"219601","495"
"220953","235"
"222916","118"
"223537","352"
"224435","25"
"231026","46"
"233193","4"
"238698","132"
"242564","50"
"243431","387"
"255320","156"
"260066","25"
"263107","21"
"276344","14"
"280617","149"
"284018","143"
"303616","44"
"306833","37"
"306908","32"
"307612","5"
"309661","128"
"311780","12"
"313268","89"
"323565","2153"
"326476","5"
"328815","264"
"335881","10"
"337343","77"
