"`id`","`has_description`"
"4069483","TRUE"
"4092676","TRUE"
"4115240","TRUE"
"4120130","TRUE"
"4136027","TRUE"
"4142580","TRUE"
"4160390","TRUE"
"4192518","TRUE"
"4198417","TRUE"
"4255397","TRUE"
"4291112","TRUE"
"4291254","TRUE"
"4339243","TRUE"
"4342100","TRUE"
"4420524","TRUE"
"4428725","TRUE"
"4467262","TRUE"
"4477515","TRUE"
"4484156","TRUE"
"4513783","TRUE"
"4539094","TRUE"
"4540322","TRUE"
"4563307","TRUE"
"4563494","TRUE"
"4569976","TRUE"
"4583981","TRUE"
"4584491","TRUE"
"4588007","TRUE"
"4629745","TRUE"
"4646758","TRUE"
"4660569","TRUE"
"4680920","TRUE"
"4682471","TRUE"
"4695209","TRUE"
"4739172","TRUE"
"4753416","TRUE"
"4773093","TRUE"
"4776433","TRUE"
"4780077","TRUE"
"4786655","TRUE"
"4809226","TRUE"
"4877698","TRUE"
"4879481","TRUE"
"4882831","TRUE"
"4894767","TRUE"
"4896516","TRUE"
"4899910","TRUE"
"4903941","TRUE"
"4904730","TRUE"
"4926223","TRUE"
"4929815","TRUE"
"4933925","TRUE"
"4963729","TRUE"
"4988377","TRUE"
"4992188","TRUE"
"4993581","TRUE"
"5041761","TRUE"
"5042362","TRUE"
"5069439","TRUE"
"5078978","TRUE"
"5103160","TRUE"
"5120709","TRUE"
"5145060","TRUE"
"5146456","TRUE"
"5195927","TRUE"
"5205541","TRUE"
"5216745","TRUE"
"5247954","TRUE"
"5304081","TRUE"
"5312058","TRUE"
"5322239","TRUE"
"5350409","TRUE"
"5368058","TRUE"
"5371237","TRUE"
"5379586","TRUE"
"5384527","TRUE"
"5398997","TRUE"
"5399390","TRUE"
"5411876","TRUE"
"5427047","TRUE"
"5428457","TRUE"
"5430540","TRUE"
"5435325","TRUE"
"5439720","TRUE"
"5441485","TRUE"
"5472160","TRUE"
"5481554","TRUE"
"5507363","TRUE"
"5522468","TRUE"
"5534759","TRUE"
"5548430","TRUE"
"5552730","TRUE"
"5555823","TRUE"
"5565375","TRUE"
"5568720","TRUE"
"5573155","TRUE"
"5593627","TRUE"
"5597614","TRUE"
"5598479","TRUE"
"5600557","TRUE"
"5602838","TRUE"
"5604899","TRUE"
"5617024","TRUE"
"5630665","TRUE"
"5636078","TRUE"
"5718353","TRUE"
"5731028","TRUE"
"5741726","TRUE"
"5778983","TRUE"
"5784154","TRUE"
"5798893","TRUE"
"5807266","TRUE"
"5812279","TRUE"
"5817753","TRUE"
"5828347","TRUE"
"5829099","TRUE"
"5846748","TRUE"
"5942149","TRUE"
"5944667","TRUE"
"5979563","TRUE"
"5989485","TRUE"
"6005713","TRUE"
"6013073","TRUE"
"6065511","TRUE"
"6068879","TRUE"
"6085795","TRUE"
"6087555","TRUE"
"6095575","TRUE"
"6096676","TRUE"
"6169171","TRUE"
"6172020","TRUE"
"6191402","TRUE"
"6196408","TRUE"
"6210932","TRUE"
"6225214","TRUE"
"6236268","TRUE"
"6239513","TRUE"
"6253776","TRUE"
"6278048","TRUE"
"6278863","TRUE"
"6280726","TRUE"
"6299920","TRUE"
"6307815","TRUE"
"6312005","TRUE"
"6318240","TRUE"
"6328765","TRUE"
"6399055","TRUE"
"6403871","TRUE"
"6412773","TRUE"
"6441856","TRUE"
"6442229","TRUE"
"6451691","TRUE"
"6462793","TRUE"
"6476825","TRUE"
"6496393","TRUE"
"6498079","TRUE"
"6499244","TRUE"
"6505671","TRUE"
"6533556","TRUE"
"6587692","TRUE"
"6610198","TRUE"
"6611850","TRUE"
"6653643","TRUE"
"6704373","TRUE"
"6712024","TRUE"
"6744736","TRUE"
"6753616","TRUE"
"6800846","TRUE"
"6816151","TRUE"
"6853230","TRUE"
"6861499","TRUE"
"6882788","TRUE"
"6916565","TRUE"
"6962535","TRUE"
"6965555","TRUE"
"6965574","TRUE"
"6970257","TRUE"
"6988298","TRUE"
"6988998","TRUE"
"7001356","TRUE"
"7013556","TRUE"
"7019686","TRUE"
"7075652","TRUE"
"7089559","TRUE"
"7105340","TRUE"
"7113913","TRUE"
"7132386","TRUE"
"7146853","TRUE"
"7147408","TRUE"
"7158417","TRUE"
"7164842","TRUE"
"7170693","TRUE"
"7182205","TRUE"
"7189065","TRUE"
"7190023","TRUE"
"7199692","TRUE"
"7212462","TRUE"
"7215130","TRUE"
"7222746","TRUE"
"7228519","TRUE"
"7240106","TRUE"
"7249970","TRUE"
"7258997","TRUE"
"7259889","TRUE"
"7260288","TRUE"
"7266288","TRUE"
"7276482","TRUE"
"7294438","TRUE"
"7304063","TRUE"
"7305150","TRUE"
"7306369","TRUE"
"7306673","TRUE"
"7308213","TRUE"
"7326980","TRUE"
"7344511","TRUE"
"7361572","TRUE"
"7383416","TRUE"
"7412153","TRUE"
"7420900","TRUE"
"7461031","TRUE"
"7489584","TRUE"
"7504851","TRUE"
"7537997","TRUE"
"7553911","TRUE"
"7556976","TRUE"
"7570729","TRUE"
"7607012","TRUE"
"7617634","TRUE"
"7623896","TRUE"
"7645899","TRUE"
"7654253","TRUE"
"7658667","TRUE"
"7666955","TRUE"
"7722836","TRUE"
"7732133","TRUE"
"7751311","TRUE"
"7753732","TRUE"
"7769665","TRUE"
"7808122","TRUE"
"7810452","TRUE"
"7811703","TRUE"
"7835118","TRUE"
"7883108","TRUE"
"7883561","TRUE"
"7890973","TRUE"
"7924929","TRUE"
"7952993","TRUE"
"7980702","TRUE"
"7990763","TRUE"
"8012811","TRUE"
"8017772","TRUE"
"8091268","TRUE"
"8117762","TRUE"
"8125526","TRUE"
"8137228","TRUE"
"8142691","TRUE"
"8162617","TRUE"
"8169424","TRUE"
"8170478","TRUE"
"8194675","TRUE"
"8228397","TRUE"
"8270641","TRUE"
"8296041","TRUE"
"8313244","TRUE"
"8339915","TRUE"
"8346508","TRUE"
"8387817","TRUE"
"8390641","TRUE"
"8404580","TRUE"
"8405131","TRUE"
"8416517","TRUE"
"8427119","TRUE"
"8450572","TRUE"
"8475145","TRUE"
"8485455","TRUE"
"8515356","TRUE"
"8532385","TRUE"
"8532554","TRUE"
"8576259","TRUE"
"8596480","TRUE"
"8634501","TRUE"
"8688328","TRUE"
"8732866","TRUE"
"8734343","TRUE"
"8758294","TRUE"
"8769923","TRUE"
"8772689","TRUE"
"8776028","TRUE"
"8789813","TRUE"
"8817056","TRUE"
"8818018","TRUE"
"8847632","TRUE"
"8854423","TRUE"
"8875437","TRUE"
"8875464","TRUE"
"8905797","TRUE"
"8906917","TRUE"
"8913435","TRUE"
"8939716","TRUE"
"8944249","TRUE"
"9026379","TRUE"
"9041360","TRUE"
"9051214","TRUE"
"9062615","TRUE"
"9078570","TRUE"
"9095732","TRUE"
"9121894","TRUE"
"9139436","TRUE"
"9152395","TRUE"
"9160279","TRUE"
"9232309","TRUE"
"9240557","TRUE"
"9245754","TRUE"
"9255018","TRUE"
"9268752","TRUE"
"9282939","TRUE"
"9343717","TRUE"
"9344074","TRUE"
"9346606","TRUE"
"9352549","TRUE"
"9356105","TRUE"
"9358405","TRUE"
"9380376","TRUE"
"9392393","TRUE"
"9394397","TRUE"
"9468307","TRUE"
"9478333","TRUE"
"9504109","TRUE"
"9511165","TRUE"
"9540082","TRUE"
"9570005","TRUE"
"9589511","TRUE"
"9597076","TRUE"
"9599053","TRUE"
"9600790","TRUE"
"9626183","TRUE"
"9650960","TRUE"
"9664486","TRUE"
"9677139","TRUE"
"9687174","TRUE"
"9701410","TRUE"
"9701695","TRUE"
"9703605","TRUE"
"9704915","TRUE"
"9706049","TRUE"
"9709068","TRUE"
"9709116","TRUE"
"9717218","TRUE"
"9726637","TRUE"
"9727940","TRUE"
"9745677","TRUE"
"9755937","TRUE"
"9777067","TRUE"
"9814221","TRUE"
"9817959","TRUE"
"9862004","TRUE"
"9865676","TRUE"
"9866862","TRUE"
"9877090","TRUE"
"9893161","TRUE"
"9895007","TRUE"
"9906217","TRUE"
"9908329","TRUE"
"9912292","TRUE"
"9930325","TRUE"
"9931815","TRUE"
"9961002","TRUE"
"9975034","TRUE"
"9982219","TRUE"
"9983686","TRUE"
"10053600","TRUE"
"10060643","TRUE"
"10066441","TRUE"
"10084609","TRUE"
"10084678","TRUE"
"10123492","TRUE"
"10125352","TRUE"
"10138664","TRUE"
"10172529","TRUE"
"10192555","TRUE"
"10196307","TRUE"
"10233169","TRUE"
"10258995","TRUE"
"10260382","TRUE"
"10282819","TRUE"
"10296656","TRUE"
"10301817","TRUE"
"10358518","TRUE"
"10377821","TRUE"
"10379711","TRUE"
