`id`,`max_followers`
1819251,2
1927881,10
1965404,283
2249262,119
2340614,117
2807863,166
2862977,121
3276139,19383
3631888,6
3874746,65
3908715,56
4069483,147
4160390,24
4192518,27
4513783,331
4540322,40
4660569,108
4988377,327
5074778,20
5411876,105
5807266,152
5942149,31
6013073,54
6253776,56
6278863,18
6318240,3184
7105340,345
7132386,158
7158417,145
7190023,635
7294438,537
7308213,181
7420900,106
7722836,1086
7808122,34
7810452,2970
7924929,92
8012811,420
8137228,57
8169424,34
8427119,442
8576259,1015
8634501,1001
8688328,1381
8734343,180
8784767,1473
9352549,111
9400432,523
9717218,47
9930325,282
10233169,698
10258995,148
10410843,126
10660095,8
11175147,52
11265367,78
11338993,124
11362536,2011
11474560,1194
11554847,51
11622535,967
11704557,6
11706023,164
11737051,66
12197208,45
12586102,1453
13481226,898
13615253,20
14957066,241
15195328,759
15239162,2
16534152,107
16792291,1875
17867788,871
18429672,15
18937463,46
19085523,241
19594347,9
20435182,116
20737229,45
20873386,44
21044484,46
21174695,61
21618029,54
21784371,315
22050640,32
22056425,20
22056630,68
22833631,122
23428045,95
24136448,1453
24265177,28
27496559,2489
27955513,370
2864,1080
3648,211
10462,2397
20678,49
36313,89
42214,59
59830,159
62093,872
64212,348
82957,13
85800,180
104483,342
114751,345
116162,99
119275,40
120216,35
122760,15704
123356,44
124137,590
142406,6
146205,1084
154114,4312
169454,47
180685,345
206270,35
207212,74
214552,8
224435,839
284075,4
306833,37
335881,10
343698,126
386790,13
422791,61
445199,2561
460773,44
569534,384
748510,2
870927,4
1124381,14
1261926,10
1382032,8
1391701,41
1397125,22
1471234,90
1500447,319
1619676,141
1892389,21
1904790,4
1918558,11
2244312,1556
2250690,176
2255699,4
2337743,10
2365356,29
2421460,13
2476937,2378
2513836,250
2771181,60
3018979,81
3063823,1251
3117680,447
3286419,24
3659421,448
3756185,17709
4035765,361
4420524,36
4773093,387
4992188,481
5078978,3
5152250,1996
5205541,117
5371237,87
5430540,60
6965555,73
7504851,561
7654253,30
7738640,360
7940296,42
9026379,27
9344074,256
9468307,62
9755937,75
10260382,1
10574931,160
10812016,8
10832960,176
10936889,118
11120703,107
11212499,2353
11297052,1
11323491,110
11924541,189
12092942,16582
12229395,50
12761803,41
12878383,110
13097260,156
13655055,2
13719308,10
13740270,6
14027141,138
14457963,50
14698825,158
14848865,31
15080529,20
15509641,19383
16030648,264
16622735,330
16846494,15
17021738,9
17332041,24
17472048,58
17924077,220
18059812,5
18790667,292
19612571,173
20138487,8
20666664,333
20955762,4
21312489,23
21974766,1119
22053634,1
22123631,19
22141768,92
25830758,25
25858715,9
27777181,163
3751,51
19615,607
30653,56
37778,21
41254,100
43969,107
54745,348
55259,19383
59582,1
74160,116
88390,2507
96689,316
107530,451
124505,153
137246,616
176596,152
201672,114
209924,7374
214505,295
233193,4
246730,264
262948,9
306908,32
326476,326
338816,41
374916,22
414089,530
440795,143
450059,299
454235,9
719340,130
772395,1996
773433,59
927777,381
1100704,330
1354419,3298
1367068,36
1436875,14
1524373,2
1764042,117
1890840,97
2381629,320
2381679,6
2739871,22
2798946,8
2814268,75
2922620,75
2987164,27
3036595,825
3168742,66
3180895,45
3236423,39
3296518,47
3499917,4417
3592410,25
3594572,14
3708910,6
3752385,28
4476638,1
4477515,454
4584491,178
4722740,6
4753416,13
4879481,544
5368058,21
5379586,289
5472160,3479
5784154,21
6065511,97
6095575,2
6239513,186
6299920,51
6753616,5
6800846,191
6853230,4
6882788,12
6970257,25
7013556,307
7617634,277
7645899,1
8339915,35
8485455,13
8772689,16
8847632,1
9343717,114
9597076,47
9703605,101
9817959,315
10447564,968
10752463,17
10803994,93
10829089,4
10854850,2397
10956038,2718
10964976,15
11197300,41
11512622,201
11537177,84
11680693,20
11797084,684
12715530,83
13454056,4
13585659,55
13685691,446
13719548,19
14057734,7
14880605,39
15536505,40
15623292,11
16770502,17
17466008,4852
17532093,11
17664209,1309
18059452,46
18415473,9
19581764,4
20465270,30
20682630,17709
20835622,11
21921763,15
22110826,157
22167327,3
23249012,23
23600597,234
24177440,18
24908811,39
28153902,80
28690670,49
18250,59
23429,124
48829,104
58642,367
78782,332
94451,35
112262,6063
120707,201
126528,22
189681,29
220953,235
238698,132
244129,14
244417,15
363605,37
427496,59
579759,8
615055,53
640609,32
724361,185
726806,60
750986,1764
1084208,64
1214622,79
1242075,172
1412018,41
1414836,100
1600439,5
1852141,640
1964893,43
2206890,54
2244481,97
2246039,3
2266052,56
2345204,128
2375290,1
2445228,5
2660015,305
2835325,241
2874293,20
3283518,167
3641172,19
3669790,4
3770464,7
3872943,141
4695209,47
4780077,700
4911527,2669
5568720,12
5718353,45
5944667,441
5989485,4
6965574,73
7075652,124
7198962,26
7249970,529
7305150,32
7306369,105
7361572,8514
7432562,332
7811703,8514
7883108,118
7883561,4483
8270641,4
8404580,47
8596480,5
8670482,2
8875464,143
9160279,15
9392393,53
9504109,48
9540082,215
9704915,93
9709068,225
9865676,198
9893161,10
9982219,22
10066441,3831
10192555,5
10199826,7
10526188,549
10589306,23
10814377,32
10953007,595
11165808,167
11720517,1643
11733127,19
11735060,241
12313618,50
12315617,783
12316998,128
12509066,431
12589909,16
12967267,1631
13747894,1967
14179437,46
14737226,414
14806250,1162
15646653,11
15794603,276
16195282,794
16640920,20
16733587,3
16988042,71
17273246,81
17879187,7
18260477,17
18993586,11
19685186,145
20226295,5
20425918,48
21065369,8
21125630,3184
21603107,35
22402010,138
22946554,70
24540619,100
25977484,138
26783304,56
27375757,629
28085151,3796
45702,599
47940,56
69069,38
81444,10
90988,24
96763,44
166720,2
205834,8
260066,25
284018,143
309661,128
337343,484
357887,182
497181,1250
677148,12
811373,38
839143,100
911527,55
1015480,758
1471568,219
1903462,809
2201979,25
2207463,38
2281243,20
2409137,10
2422498,8
2480777,165
2601235,189
2749609,38
2768008,42
2787691,48
3122758,924
3389811,23
3498338,159
3827244,40
4045632,159
4428725,48
5602838,79
5778983,84
5979563,9
6861499,529
8769923,12
8913435,69
9051214,348
9139436,23
9240557,91
9931815,2397
10125352,85
10432015,7
10555368,38
11127510,20
12260707,1
12274903,158
12308151,327
12474524,58
12508484,12
13636329,11
14543063,30
15134766,11
15531805,99
16219560,5
16798228,35
17193964,100
18552022,333
19525779,9
23471356,12
26965543,10
28117425,1091
13929,7374
22772,1623
134290,132
303616,94
383256,99
455467,41
576260,213
673716,43
686542,742
1017307,215
1031791,399
1093294,17
1449551,66
2909754,21
3173347,12
4058558,96
4569976,4
5573155,1
8789813,1
10060643,1400
10733538,14
10741429,1
11348682,1
11453235,238
12516628,24
12807650,9
13126326,62
13778815,35
14310944,2228
14435272,6
15743643,793
16569855,3
16904075,15
17322266,1
