"`project_id`","`number_of_commits`"
"6011279","67"
"6029260","1335"
"6034372","14"
"6048597","222"
"6064327","305"
"6068879","323"
"6075636","68"
"6080633","5"
"6085930","11"
"6091549","523"
"6096676","262"
"6106085","101"
"6107541","2242"
"6130802","14"
"6160909","43"
"6167821","32"
"6189264","7826"
"6193466","49"
"6213142","50"
"6218854","708"
"6226713","112"
"6243709","66"
"6253397","4231"
"6265804","4"
"6274067","3"
"6282369","281"
"6318616","7"
"6326179","4"
"6342944","670"
"6386907","38"
"6437914","4708"
"6465980","79"
"6488172","3545"
"6492727","130"
"6500008","70"
"6504701","155"
"6557532","4"
"6568665","42"
"6571088","140"
"6575577","6"
"6611508","4519"
"6619345","579"
"6622991","30"
"6653710","121"
"6660726","1"
"6663351","19"
"6668420","61"
"6699359","441"
"6711793","11"
"6780885","22"
"6804771","1"
"6811697","38"
"6888804","451"
"6898760","330"
"6901625","369"
"6929777","3"
"6931752","569"
"6937275","77"
"6984352","18"
"6986882","203"
"6992183","3326"
"7001612","3086"
"7013293","103"
"7016396","10"
"7025061","290"
"7029420","1"
"7032521","122"
"7042879","106"
"7043661","28"
"7045394","206"
"7066949","21"
"7074462","22"
"7075935","985"
"7146167","8"
"7174110","24"
"7179723","62"
"7183865","44"
"7195493","496"
"7197777","5796"
"7201837","36"
"7212135","5485"
"7214291","79"
"7216211","90"
"7216824","87"
"7223006","7"
"7246778","267"
"7296297","145"
"7299725","1"
"7300073","277"
"7303857","374"
"7304063","236"
"7306673","299"
"7307371","91"
"7315440","37"
"7336999","32"
"7354866","1825"
"7375496","18"
"7401165","1"
"7427991","27"
"7453886","4"
"7487938","47"
"7503571","3"
"7507515","17"
"7515740","84"
"7535679","67"
"7544129","95"
"7562963","1043"
"7563993","29"
"7577781","2"
"7597284","159"
"7624394","1687"
"7633613","247"
"7636064","262"
"7653722","190"
"7665191","7"
"7689951","100"
"7691483","14"
"7731401","371"
"7748273","6385"
"7759493","1"
"7761310","1"
"7770700","2"
"7779141","623"
"7786292","3078"
"7819640","4"
"7835578","40"
"7899652","36"
"7960973","16"
"7961749","6"
"7983715","25"
"8010844","102"
"8011327","97"
"8013280","39"
"8017772","1024"
"8031575","895"
"8038310","310"
"8079307","316"
"8081749","885"
"8083989","11"
"8091799","97"
"8098795","38"
"8117575","11"
"8140956","637"
"8143066","1"
"8160559","63"
"8163527","3"
"8165014","788"
"8188075","100"
"8217251","24"
"8231206","18"
"8244394","928"
"8249876","3"
"8255049","124"
"8262537","6"
"8282008","119"
"8284977","26"
"8287262","365"
"8292833","3072"
"8324023","1344"
"8332620","155"
"8347118","1"
"8355029","360"
"8355399","244"
"8358699","65"
"8375204","4"
"8391940","7"
"8479254","693"
"8592995","519"
"8622574","10"
"8667546","45"
"8714843","6"
"8730740","120"
"8788120","943"
"8806813","68"
"8814281","171"
"8824478","28"
"8852349","3"
"8870998","61"
"8913939","969"
"8939642","77"
"8941324","134"
"8951577","22"
"8967841","46"
"9011152","9"
"9017041","189"
"9022688","40"
"9026308","189"
"9049071","122"
"9067322","1"
"9073758","27"
"9092306","5"
"9103055","20"
"9122949","592"
"9125619","87"
"9140398","156"
"9164060","824"
"9174160","123"
"9191905","202"
"9210469","50"
"9213131","303"
"9222871","437"
"9243301","468"
"9267291","81"
"9277298","161"
"9322184","412"
"9343682","96"
"9349267","18"
"9371999","22"
"9387761","16"
"9391898","133"
"9463069","17"
"9467909","135"
"9513334","11"
"9541726","640"
"9544569","165"
"9573385","47"
"9592051","13"
"9602553","583"
"9604324","31"
"9606876","173"
"9608984","165"
"9631508","165"
"9640788","463"
"9642040","34"
"9642201","213"
"9643526","67"
"9675870","396"
"9687113","61"
"9698210","4769"
"9699432","7"
"9702373","83"
"9728877","1948"
"9729101","100"
"9733459","69"
"9734803","3"
"9739323","10"
"9743302","92"
"9743691","152"
"9750543","289"
"9767990","10"
"9784925","254"
"9808795","12"
"9812676","23"
"9815750","9"
"9817124","2"
"9832188","154"
"9839038","57"
"9840369","3"
"9856432","686"
"9876211","62"
"9881161","5"
"9905631","66"
"9906217","11038"
"9929464","275"
"9951149","21"
"9957253","290"
"9961002","516"
"9969413","95"
"9970320","65"
"9970551","56"
"9982844","67"
"9990541","13"
"9997017","3254"
"10038647","48"
"10044737","42"
"10114497","128"
"10118382","176"
"10127207","258"
"10153922","153"
"10157323","173"
"10177094","15"
"10178941","19"
"10191748","37"
"10197976","164"
"10243690","9"
"10247526","23"
"10263240","35"
"10270001","911"
"10279721","439"
"10342620","757"
"10345880","24"
"10373871","15"
"10374232","42"
"10396650","26"
"10397016","409"
"10399292","88"
"10400153","97"
"10407448","381"
"10424121","474"
"10425724","2142"
"10426417","321"
"10446082","179"
"10454675","53"
"10467357","54"
"10474128","60"
"10481791","30"
"10498388","179"
"10504717","52"
"10510425","229"
"10512714","899"
"10516291","6"
"10527161","22"
"10529088","424"
"10536450","177"
"10555329","9"
"10557577","2"
"10579063","259"
"10583437","85"
"10585815","969"
"10589192","414"
"10592295","8"
"10603682","1340"
"10618426","56"
"10628625","1196"
"10631290","139"
"10632719","106"
"10642813","800"
"10643410","260"
"10646013","18"
"10664153","187"
"10737339","1463"
"10738206","670"
"10751880","3170"
"10761212","990"
"10763441","2"
"10773911","11"
"10776958","12"
"10804720","143"
"10809851","208"
"10812681","105"
"10815238","330"
"10823903","94"
"10849909","13"
"10900987","140"
"10910895","172"
"10923285","75"
"10925346","40"
"10936394","63"
"10938134","1769"
"10947670","753"
"10952404","21135"
"10962335","172"
"10962779","5"
"10962849","13"
"10975446","201"
"10989920","2"
"11012738","789"
"11013888","20"
"11013924","60"
"11024195","5"
"11040302","744"
"11062926","51"
"11066273","55"
"11066612","12"
"11090356","3"
"11093372","41"
"11100344","177"
"11103777","104"
"11106278","33"
"11106486","7"
"11125771","83"
"11131003","46"
"11132347","146"
"11136338","407"
"11139593","340"
"11145029","1315"
"11145131","1230"
"11151943","392"
"11152337","2"
